zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel;aantal woorden
dividendbelasting;43378,61528;https://twitter.com/ArinkaDePinka/status/1048192696261758976;+;post;3;942;ArinkaDePinka;942;9.3;;;Grappig, allerlei mensen die Rutte afzeiken, maar op het moment dat Jesse een debat aan wil vragen meteen weer in hun anti Jesse schoenen springen en daar weer wat tegen hebben. Want ja, Jesse en GL. 🙄 Wat was de tijd toch fijn dat het plebs gewoon zij;twitter;;52
dividendbelasting;43378,81875;https://twitter.com/bruin752_piet/status/1048266455853268992;;post;;26;bruin752_piet;26;1.3;;;En de rest van de kudde #coalitie loopt weer gapend en knikkend achter de leider aan. En ook nu zullen ze overtuigend aan hun achterban uit gaan leggen dat wat de leider zegt het beste voor ons land is. Misschien kunnen de coalitie partijen eindelijk weer;twitter;;50
dividendbelasting;43378,58403;https://twitter.com/eelco_gielen/status/1048181291500355584;+;post;;13;eelco_gielen;13;0.5;;;Zo komt dit goed uit voor onze VVD @MinPres, tot in de diepste vezels van mij moet dit gebeuren. Toch een misrekening gemaakt, of gaat @MinPres voor een toekomstig baantje bij Unilever of Shell als commissaris? Dat zal wel want hij hoort bij de partij die;twitter;;50
dividendbelasting;43365,64306;https://twitter.com/omeHennie/status/1043491606412832768;;post;2;18;omeHennie;18;0.8;;;Als je iets beloofd aan Unilever en Shell, probeer je het na te komen ook al kost dat het vertrouwen niet alleen van de oppositie maar ook van de rest van de kamer. Staat er op dit barstje grot druk of wacht Pechtold gewoon tot hij zijn kroonjuwelen binne;twitter;;50
dividendbelasting;43364,66875;https://twitter.com/AdriaanLuistert/status/1043138526718713858;+;post;;192;AdriaanLuistert;192;2.7;;;@MinPres ik ben niet echt dom (nee echt, zo heb ik een master economie) maar ik heb nog geen enkel argument gehoord voor het [afschaffen] van de [#dividendbelasting] dat ergens op slaat. Óf u moet t beter uitleggen óf u moet ophouden te doen alsof er re;twitter;;50
dividendbelasting;43378,4;https://twitter.com/cescolevens/status/1048114771181101059;;post;2;1909;cescolevens;1909;4;;;"🔴#Unilever ziet af van verhuizing naar NL! #Rutte kan dan wel zijn privé belang blijven dienen door vast te [houden] a/d afschaffing vd [#dividendbelasting]; #CDA, #D66 en #CU kunnen dat niet meer! Doen ze dat wel dan straffen wij ze zwaar af bij de v";twitter;;49
dividendbelasting;43361,97917;https://twitter.com/RoversK/status/1042164089726951431;;post;;41;RoversK;41;2.8;;;Het grote argument voor het [afschaffen] van de [#dividendbelasting] lijkt behoud of groei van banen. Hoezo? Er zijn nu al te weinig mensen beschikbaar in de zorg, het onderwijs, de bouw, de ICT. Gaan bedrijven die mensen daar met veel geld wegkopen? Die ;twitter;;49
dividendbelasting;43378,72153;https://twitter.com/giskard/status/1048231152660729856;-;post;;151;giskard;151;6.5;;;Wat een bak boter heb je dan op je hoofd.  Als Klaver c.s. niet zo'n stampij hadden gemaakt, was Unilever gewoon verhuisd. Het afzeggen bevestigt het gelijk van Rutte.  Wat ik vandaag overal hoor en lees is echt het meest bizarre stukje #omdenken dat ik o;twitter;;48
dividendbelasting;43378,64653;https://twitter.com/andrevaneerden/status/1048204138805432320;+;post;;2309;andrevaneerden;2309;3;;;Rutte die er tot op het diepst van zijn vezels van overtuigd was dat het [afschaffen] van de [dividendbelasting] een goede zaak was verdedigt volgende week gewoon weer het besluit om die afschaffing niet door te laten gaan. Wat voor premier hebben wij eig;twitter;;48
dividendbelasting;43378,63958;https://twitter.com/barrygommers/status/1048201590606315520;;post;;395;barrygommers;395;2.7;;;Snap ik t niet meer? Je schaft de div.bel af om bedrijven hier te [houden]. Dan zegt Unilever dat ze niet komen omdat er onduidelijkheid is over de afschaffing vd div.bel. En dan kom je terug op je plan. Volgens mij is dit een steun voor t plan.[#dividend;twitter;;48
dividendbelasting;43367,01181;https://twitter.com/HHouwerzijl/status/1043987732052234242;;post;2;1336;HHouwerzijl;1336;9.3;;;Lubach heeft vanavond het koopkrachtplaatje onder uit gehaald als onzin en deed het netjes. Als je de vrije economie wil laten stijgen en dat moet nu echt in Nederland dan schaf je de [dividendbelasting] niet af en de energiebelasting wel [afschaffen] en ;twitter;;48
dividendbelasting;43365,86042;https://twitter.com/matthijsedelman/status/1043570420849500160;+;post;2;1014;matthijsedelman;1014;1.7;;;En het is niet alsof het zijn eigen geld is... Het is zeker niet alsof er geen betere bestemming voor het 💰 gevonden kan worden.  En inmiddels durf ik, vanwege de weerstand die dit oproept in samenleving en media, te betwijfelen of het goed is voor het;twitter;;48
dividendbelasting;43365,53264;https://twitter.com/JanHoekzema/status/1043451653985370113;;post;4;697;JanHoekzema;697;4.3;;;Buma CDA heeft het steeds over de toon van het debat, hij zou het beter over de inhoud kunnen hebben. Tijdens de APB zat hij laf in de bankjes en knikte ja en amen als de premier iets zei. CDA is medeverantwoordelijk voor [afschaffen] van de [#dividendbel;twitter;;48
dividendbelasting;43364,90139;https://twitter.com/EricVrijsen/status/1043223082675200001;-;post;17;1152;EricVrijsen;1152;1.8;;;Sorry, hoor maar @marijnissenL leverde evenmin nieuwe argumenten voor handhaving [dividendbelasting]. Dat zat ook in haar vezels. En wat is daar dan mis mee? Als je Organon voor 11 miljard in Oss had willen [houden], is 2 miljard voor Shell en Unilever in;twitter;;48
dividendbelasting;43378,54931;https://twitter.com/laura_wals/status/1048168843955396608;;post;;194;laura_wals;194;0.8;;;Ik stel mij het volgende telefoontje voor:  -  Hoiii Paul, met Mark. Zeg je geeft toch wel ff de protesten tegen [afschaffen] [#dividendbelasting] de schuld hè? Levert het jullie toch nog wat op.  -Spreekt vanzelf Mark pb ligt al klaar. Die miljardjes ga;twitter;;47
dividendbelasting;43378,45833;https://twitter.com/WaltervSteenis/status/1048135892429410305;;post;;132;WaltervSteenis;132;1.8;;;@MinPres Beter ten halve (half?) gekeerd, dan ten heele #gedwaald, het is dus beter nu terug te keeren, op den slechten weg die wij bewandelen, en te trachten een beter leven te leiden en te investeren in #eerlijkeverdeling en #klimaat, dan op dien weg vo;twitter;;47
dividendbelasting;43374,70556;https://twitter.com/Oerloper/status/1046775857367457792;+;post;;200;Oerloper;200;0.7;;;"het is een openlijke ""love afair"" met grote bedrijven (vroeger moest dat nog door langdurig onderzoek aangetoond worden, nu is het gewoon openlijk) en de persoonlijke natte droom van Rutte, die later uitkomt als hij geen premier meer is en een leuke baan ";twitter;;47
dividendbelasting;43378,70903;https://twitter.com/Redro95501262/status/1048226714072076288;;post;;6;Redro95501262;6;0.7;;;[Afschaffen] [dividendbelasting] is een op zich staand iets wat nu in  breder pakket getrokken wordt door Rutte. Wellicht zo gezegd om  tijd te creëren en  aandacht verder af te leiden door meer onderwerpen  te bespreken en daar veel meer nadruk op te le;twitter;;46
dividendbelasting;43366,01667;https://twitter.com/JurrVanWessem/status/1043627184668266502;+;post;2;5668;JurrVanWessem;5668;7.4;;;Morgen de derby Barcelona-Girona.  Als er een voetbalclub gaat profiteren van het [afschaffen] van de [dividendbelasting] dan is het Girona, maar daar gaan we geen kamervragen over stellen. Leve de Zuidas en de ene werknemer die de brievenbus in stand hou;twitter;;46
dividendbelasting;43362,91389;https://twitter.com/orpa1712/status/1042502665048080384;-;post;;85;orpa1712;85;1;;;ipv van weg te geven aan #multinationals door [afschaffen] van de [#dividendbelasting] geef dat deel aan de burgers en aan het #MKB. Het MKB is de draaiende motor van NL! De Burgers moeten keihard werken zodat de multinationals kunnen genieten! Niet  eerl;twitter;;46
dividendbelasting;43362,45417;https://twitter.com/mbqcarper/status/1042336004223520768;-;post;;118;mbqcarper;118;14.5;;;🤭Echt IEDEREEN tweet dat we de truuk door hebben, het afleiden van de aandacht vd [dividendbelasting] door de sheeple een visje voor te [houden] van de mensen in probleemwijken (=allochtonen denkt half NL dan) dubbel zo hard straffen. We hebben je dooh;twitter;;46
dividendbelasting;43361,92708;https://twitter.com/LeoPSpelt/status/1042145018486697986;;post;2;173;LeoPSpelt;173;0.9;;;Olongren, de Jonge en Schouten proberen zich op allerlei manieren uit de basisvraag te spinnen en framen, maar een ding doen ze niet, en dat is de vraag beantwoorden. Waarom [#dividendbelasting] [afschaffen] als er geen draagvlak en geen noodzaak is. De e;twitter;;46
dividendbelasting;43361,92361;https://twitter.com/Bistro1955/status/1042143822170472448;+;post;;1392;Bistro1955;1392;1.6;;;[Dividendbelasting] [afschaffen]! Ik zeg doen en weer over gaan tot de orde van de dag! Armoede, jeugd, ouderen, woning, religie in onderwijs, ons leger bijvoorbeeld de jagers een prachtig elite korps, ons oranje huis belangrijk voor onze vrijheid! Er is ;twitter;;46
dividendbelasting;43378,45139;https://twitter.com/leonardwalpot/status/1048133314585022470;-;post;5;706;leonardwalpot;706;1.8;;;"Vooropgesteld: ik besteed bijna al mijn financiële zaken uit en ben geen econoom, dus het kan zijn dat de vraag dom is. Maar toch; voor mijn begrip: als hoofdkantoor van Unilever niet naar NL komt, betalen ze toch sowieso geen [dividendbelasting], ongeac";twitter;;45
dividendbelasting;43371,35625;https://twitter.com/sinasalim/status/1045562100482002944;-;post;2;1117;sinasalim;1117;3.4;;;CDA & VVD laten zien dat ze over afspraken rondom #klimaatakkoord net zo onbetrouwbaar zijn als PVV in Rutte I. Voor D66 wordt het moeilijk om voor het landsbelang kabinet overeind te [houden] als dit jaar geen #klimaatakkoord komt. Benieuwd naar motie @B;twitter;;45
dividendbelasting;43369,78333;https://twitter.com/PvdANieuwegein/status/1044992173731717120;;post;4;506;PvdANieuwegein;506;2.5;;;"Neemt u ook deel aan de manifestatie op 2 oktober in Den Haag? ""Tegen het [afschaffen] van de [dividendbelasting] en de macht van het grote geld. Voor investeringen in Nederland en in al die mensen die zulk ontzettend belangrijk werk doen voor ons allemaa";twitter;;45
